city,lon,lat
Genoa,8.946256,44.4056499
Osino-Gay,NA,NA
Okanghudi,NA,NA
Nagymajor,20.5409793,49.3678335
Biesdorf,13.5633169,52.50842890000001
Afagnan,NA,NA
Cameroon,12.354722,7.369721999999999
Thakpo Langdun,NA,NA
Orotukan,151.6703311,62.2645442
Juan Augusto Saldívar,-57.43444509999999,-25.4446495
Chechen-Ingush Autonomous Soviet Socialist Republic,45.7187468,43.4023301
Dubrave,18.574316,44.8256795
Dongshigu,120.730119,29.625259
Provence,6.2116438,44.0144936
San Solano,-56.7243591,-26.9476201
San Roque González de Santa Cruz,-57.28750969999999,-25.8806871
Polanówka,22.5147409,51.1289934
Dyrup,10.341995,55.35078799999999
Turin,7.686856499999999,45.070312
Delüün Boldog,NA,NA
Amsheet,35.6379896,34.14890440000001
Frankfurt,8.6821267,50.1109221
Paddan Aram,NA,NA
Azupiranu,NA,NA
